Ticker,first_date,last_date,coverage_pct,ffill_days,ffill_pct,mean_price,std_price
ADANIENT.NS,2018-01-01,2026-03-23,100.0,115,5.36,1539.72,1194.89
ADANIPORTS.NS,2018-01-01,2026-03-23,100.0,115,5.36,761.44,402.13
APOLLOHOSP.NS,2018-01-01,2026-03-23,100.0,115,5.36,3912.69,2264.69
ASIANPAINT.NS,2018-01-01,2026-03-23,100.0,115,5.36,2323.76,717.46
AXISBANK.NS,2018-01-01,2026-03-23,100.0,115,5.36,827.68,247.64
BAJAJ-AUTO.NS,2018-01-01,2026-03-23,100.0,115,5.36,4633.85,2708.76
BAJAJFINSV.NS,2018-01-01,2026-03-23,100.0,115,5.36,1266.75,515.51
BAJFINANCE.NS,2018-01-01,2026-03-23,100.0,115,5.36,566.07,238.72
BEL.NS,2018-01-01,2026-03-23,100.0,115,5.36,127.89,126.52
BHARTIARTL.NS,2018-01-01,2026-03-23,100.0,115,5.36,847.89,545.12
BPCL.NS,2018-01-01,2026-03-23,100.0,115,5.36,180.15,75.03
BRITANNIA.NS,2018-01-01,2026-03-23,100.0,115,5.36,3837.17,1160.37
CIPLA.NS,2018-01-01,2026-03-23,100.0,115,5.36,950.61,377.03
CL=F,2018-01-02,2026-03-23,100.0,79,3.68,67.75,16.88
COALINDIA.NS,2018-01-01,2026-03-23,100.0,115,5.36,203.68,121.58
CPSEETF.NS,2018-01-01,2026-03-23,100.0,116,5.4,45.93,28.48
DIVISLAB.NS,2018-01-01,2026-03-23,100.0,115,5.36,3508.7,1666.34
DRREDDY.NS,2018-01-01,2026-03-23,100.0,115,5.36,888.21,292.15
EICHERMOT.NS,2018-01-01,2026-03-23,100.0,115,5.36,3276.51,1501.88
EURINR=X,2018-01-01,2026-03-23,100.0,6,0.28,86.99,7.14
GC=F,2018-01-02,2026-03-23,100.0,80,3.73,2053.35,813.0
GOLDBEES.NS,2018-01-01,2026-03-23,100.0,116,5.4,49.62,21.77
GRASIM.NS,2018-01-01,2026-03-23,100.0,115,5.36,1572.87,734.59
HCLTECH.NS,2018-01-01,2026-03-23,100.0,115,5.36,930.45,450.82
HDFCBANK.NS,2018-01-01,2026-03-23,100.0,115,5.36,690.47,158.53
HDFCLIFE.NS,2018-01-01,2026-03-23,100.0,115,5.36,585.63,110.08
HEROMOTOCO.NS,2018-01-01,2026-03-23,100.0,115,5.36,2985.88,1132.73
HINDALCO.NS,2018-01-01,2026-03-23,100.0,115,5.36,410.5,210.58
HINDUNILVR.NS,2018-01-01,2026-03-23,100.0,115,5.36,2097.14,392.92
ICICIBANK.NS,2018-01-01,2026-03-23,100.0,115,5.36,760.46,372.04
INDUSINDBK.NS,2018-01-01,2026-03-23,100.0,115,5.36,1150.27,359.67
INFY.NS,2018-01-01,2026-03-23,100.0,115,5.36,1158.7,435.21
ITC.NS,2018-01-01,2026-03-23,100.0,115,5.36,268.31,105.55
JSWSTEEL.NS,2018-01-01,2026-03-23,100.0,115,5.36,602.68,307.85
KOTAKBANK.NS,2018-01-01,2026-03-23,100.0,115,5.36,336.99,59.24
LIQUIDBEES.NS,2018-01-01,2026-03-23,100.0,116,5.4,866.21,74.83
LT.NS,2018-01-01,2026-03-23,100.0,115,5.36,2089.55,1045.08
M&M.NS,2018-01-01,2026-03-23,100.0,115,5.36,1396.64,993.01
MARUTI.NS,2018-01-01,2026-03-23,100.0,115,5.36,8901.98,2792.44
NESTLEIND.NS,2018-01-01,2026-03-23,100.0,115,5.36,881.12,274.8
NTPC.NS,2018-01-01,2026-03-23,100.0,115,5.36,176.82,107.71
ONGC.NS,2018-01-01,2026-03-23,100.0,115,5.36,140.33,67.64
POWERGRID.NS,2018-01-01,2026-03-23,100.0,115,5.36,152.58,86.95
RELIANCE.NS,2018-01-01,2026-03-23,100.0,115,5.36,1003.03,345.79
SBILIFE.NS,2018-01-01,2026-03-23,100.0,115,5.36,1142.06,406.32
SBIN.NS,2018-01-01,2026-03-23,100.0,115,5.36,486.26,242.76
SHRIRAMFIN.NS,2018-01-01,2026-03-23,100.0,115,5.36,339.18,209.48
SUNPHARMA.NS,2018-01-01,2026-03-23,100.0,115,5.36,926.29,495.22
TATASTEEL.NS,2018-01-01,2026-03-23,100.0,115,5.36,93.85,48.94
TCS.NS,2018-01-01,2026-03-23,100.0,115,5.36,2689.69,809.95
TECHM.NS,2018-01-01,2026-03-23,100.0,115,5.36,980.46,388.73
TITAN.NS,2018-01-01,2026-03-23,100.0,115,5.36,2202.21,1074.21
TRENT.NS,2018-01-01,2026-03-23,100.0,115,5.36,2038.49,2056.03
ULTRACEMCO.NS,2018-01-01,2026-03-23,100.0,115,5.36,7057.32,2983.75
USDINR=X,2018-01-01,2026-03-23,100.0,7,0.33,77.75,6.78
WIPRO.NS,2018-01-01,2026-03-23,100.0,115,5.36,188.39,64.98
^CNXAUTO,2018-01-01,2026-03-23,100.0,134,6.24,14182.12,6600.72
^CNXIT,2018-01-01,2026-03-23,100.0,119,5.54,26975.11,9620.57
^CNXMETAL,2018-01-01,2026-03-23,100.0,134,6.24,5683.71,2734.38
^CNXPHARMA,2018-01-01,2026-03-23,100.0,120,5.59,14036.48,4972.47
^INDIAVIX,2018-01-01,2026-03-23,100.0,135,6.29,17.02,6.93
^NSEBANK,2018-01-01,2026-03-23,100.0,119,5.54,38196.93,11071.86
^NSEI,2018-01-02,2026-03-23,100.0,120,5.59,16909.7,5310.02
